timestamp,action,direction,price
2026-06-18T00:01:04.125169,CLOSE,SELL,4280.91
2026-06-18T00:10:14.962849,CLOSE,SELL,4298.14
2026-06-18T11:41:31.079532,CLOSE,BUY,4248.04
2026-06-18T17:44:20.813735,CLOSE,BUY,4215.47
2026-06-18T19:56:21.399721,CLOSE,BUY,4206.59
2026-06-23T05:48:52.135595,CLOSE,SELL,4152.51
2026-07-01T06:14:48.717078,OPEN,SELL,3964.975
2026-07-03T01:13:53.770150,OPEN,BUY,4177.92
2026-07-06T09:46:13.854602,CLOSE,SELL,4142.85
2026-07-07T01:28:03.372471,OPEN,SELL,4126.82
2026-07-07T11:33:27.803719,CLOSE,BUY,4143.05
2026-07-08T12:52:19.367766,OPEN,BUY,4085.5699999999997
2026-07-13T10:44:48.746798,OPEN,SELL,4053.0699999999997
2026-07-14T05:42:03.982839,OPEN,BUY,4030.81
2026-07-14T18:51:52.658955,CLOSE,SELL,4046.12
2026-07-16T11:57:19.097040,OPEN,BUY,4040.56
